0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Type,Disease,Central African Republic,Democratic Republic of Congo,Senegal,Nigeria,Kenya,Namibia,South Africa,Algeria,Israel,Pakistan,China,Russia,Japan,Cambodia,Guinea,France,Italy,United Kingdom,Georgia,Mexico,Colombia,Brazil
Addiction,Addictive behaviours,0.55,0.40,0.83,0.83,1.00,0.50,1.63,0.37,0.41,0.42,0.85,0.40,0.97,1.00,0.61,0.60,0.35,0.31,0.53,1.70,1.15,1.47
Addiction,Alcoholism,2.16,2.67,2.71,2.13,2.25,2.17,3.25,2.60,1.87,1.96,2.67,2.16,2.76,2.36,1.58,1.94,1.86,2.00,1.59,1.98,2.31,2.13
Addiction,All traits/diseases,8.26,8.53,9.08,8.83,9.75,7.17,12.00,10.70,10.34,11.35,13.31,11.40,13.31,12.45,10.81,11.11,10.59,10.63,8.94,11.80,10.46,10.64
Addiction,Cocaine dependence,0.42,0.27,0.54,0.54,0.67,0.50,0.50,0.57,0.73,0.71,0.46,0.62,0.52,0.45,0.58,0.72,0.71,0.81,0.47,0.70,0.62,0.22
Addiction,Cocaine-induced paranoia,0.90,1.00,1.63,1.58,2.00,1.00,2.50,1.33,1.95,1.92,2.49,1.90,2.24,1.73,2.56,1.91,1.43,1.25,1.18,1.38,1.08,1.27
Addiction,Heroin addiction,0.48,0.20,0.38,0.75,0.50,0.50,0.38,2.20,1.45,1.96,2.73,2.10,2.90,2.45,1.83,1.64,1.90,2.06,1.06,1.98,1.15,1.27
Addiction,Nicotine dependence,3.74,4.00,3.00,3.00,3.33,2.50,3.75,3.63,3.93,4.37,4.11,4.22,3.93,4.45,3.64,4.30,4.35,4.19,4.12,4.06,4.15,4.29
Autoinmune,All traits/diseases,12.32,10.80,9.21,11.29,12.25,11.00,11.75,14.07,13.88,12.65,11.43,10.40,9.10,9.09,7.61,9.62,11.06,10.25,10.18,13.78,13.31,10.60
Autoinmune,Allergies,-0.19,-0.27,-0.13,-0.13,-0.25,-0.17,-0.25,-0.13,-0.34,-0.38,-0.16,-0.36,-0.14,-0.27,-0.06,-0.26,-0.45,-0.56,-0.35,-0.12,-0.23,0.00
Autoinmune,Ankylosing Spondylitis,1.26,0.53,-0.13,0.75,0.42,0.67,-0.50,0.50,2.01,2.36,3.15,1.80,2.76,2.64,1.81,1.42,0.78,1.00,0.94,2.48,2.85,3.42
Autoinmune,Asthma,1.48,1.47,1.79,2.33,1.92,1.33,2.75,1.93,0.92,0.59,0.83,0.62,0.55,1.18,1.08,0.60,0.35,0.56,0.94,1.60,1.08,0.29
Autoinmune,Celiac Disease,0.42,0.73,0.04,0.13,0.42,-0.50,0.25,0.97,0.54,0.83,0.31,0.12,0.14,-0.18,-1.36,-0.08,0.39,-0.56,0.35,1.50,2.15,1.71
Autoinmune,Crohn's Disease,1.10,0.60,0.88,0.83,1.00,0.67,0.25,0.17,0.95,0.56,1.24,0.52,0.55,0.36,0.06,0.38,1.02,1.13,0.29,0.16,0.31,-0.27
Autoinmune,Inflammatory bowel disease,0.77,1.00,1.00,1.38,0.75,1.50,1.88,1.40,1.45,1.16,0.43,0.78,0.52,0.00,0.92,0.96,1.29,1.31,0.88,0.12,0.23,0.00
Autoinmune,Multiple Sclerosis,2.13,1.80,1.75,1.96,2.00,2.50,2.38,2.33,2.28,1.98,1.73,1.88,1.62,1.45,1.72,1.85,2.14,2.13,2.35,2.22,2.38,2.73
Autoinmune,Psoriasis,6.97,7.20,5.67,5.63,7.08,6.50,6.13,8.10,7.44,6.83,6.30,7.06,5.48,5.55,5.50,6.55,6.37,7.38,5.18,6.24,5.54,3.67
Autoinmune,Rheumatoid Arthritis,-0.42,-1.00,-0.58,-0.75,-0.75,-0.50,-0.38,-0.53,-0.86,-1.01,-0.92,-0.56,-0.52,0.09,-1.00,-0.75,-0.37,-0.69,0.35,-0.30,-0.54,0.18
Autoinmune,Sjgren's Syndrome,0.23,0.00,0.25,0.21,0.42,0.50,0.38,0.27,0.45,0.49,0.60,0.52,0.52,0.64,0.75,0.49,0.51,0.50,0.47,0.80,0.69,0.91
Autoinmune,Systemic Lupus Erythematosis (Lupus),-1.68,-1.60,-1.67,-1.50,-1.00,-2.00,-1.75,-1.40,-1.46,-1.15,-2.23,-2.24,-2.55,-2.36,-2.11,-1.85,-1.39,-2.38,-1.53,-0.96,-1.23,-2.04
Autoinmune,Ulcerative colitis,0.26,0.33,0.33,0.46,0.25,0.50,0.63,0.47,0.48,0.39,0.14,0.26,0.17,0.00,0.31,0.32,0.43,0.44,0.29,0.04,0.08,0.00
Cancer,All,0.61,0.67,0.50,0.42,0.58,1.00,0.75,0.63,0.81,0.89,0.89,0.94,0.79,1.00,0.89,0.75,0.80,0.88,0.76,0.96,0.85,0.69
Cancer,All traits/diseases,27.55,28.13,27.17,26.46,27.92,27.00,28.00,28.50,29.48,27.63,24.74,25.52,23.59,27.00,25.81,27.25,30.39,28.69,27.76,29.74,28.85,29.98
Cancer,Bladder,0.39,0.27,0.50,0.50,0.83,0.33,0.75,0.90,1.23,1.13,1.37,1.20,1.41,1.45,0.94,1.19,1.29,1.19,1.18,1.30,1.08,1.40
Cancer,Brain,0.06,0.00,0.21,0.17,0.25,0.17,0.25,0.27,0.50,0.37,0.58,0.44,0.52,0.82,0.33,0.47,0.67,0.81,0.53,0.82,0.69,0.60
Cancer,Breast,5.84,6.53,5.63,5.58,4.75,5.83,5.25,4.53,4.39,4.62,5.01,4.22,3.90,4.82,5.25,4.57,4.96,3.63,5.06,5.38,4.77,6.42
