CEPH ID	Origin
HGDP00001	Pakistan
HGDP00003	Pakistan
HGDP00005	Pakistan
HGDP00007	Pakistan
HGDP00009	Pakistan
HGDP00011	Pakistan
HGDP00013	Pakistan
HGDP00015	Pakistan
HGDP00017	Pakistan
HGDP00019	Pakistan
HGDP00021	Pakistan
HGDP00023	Pakistan
HGDP00025	Pakistan
HGDP00027	Pakistan
HGDP00029	Pakistan
HGDP00031	Pakistan
HGDP00033	Pakistan
HGDP00035	Pakistan
HGDP00037	Pakistan
HGDP00039	Pakistan
HGDP00041	Pakistan
HGDP00043	Pakistan
HGDP00045	Pakistan
HGDP00047	Pakistan
HGDP00049	Pakistan
HGDP00052	Pakistan
HGDP00054	Pakistan
HGDP00056	Pakistan
HGDP00057	Pakistan
HGDP00058	Pakistan
HGDP00060	Pakistan
HGDP00062	Pakistan
HGDP00064	Pakistan
HGDP00066	Pakistan
HGDP00068	Pakistan
HGDP00070	Pakistan
HGDP00072	Pakistan
HGDP00074	Pakistan
HGDP00076	Pakistan
HGDP00078	Pakistan
HGDP00080	Pakistan
HGDP00082	Pakistan
HGDP00084	Pakistan
HGDP00086	Pakistan
HGDP00088	Pakistan
HGDP00090	Pakistan
HGDP00092	Pakistan
HGDP00094	Pakistan
HGDP00096	Pakistan
HGDP00098	Pakistan
HGDP00099	Pakistan
HGDP00100	Pakistan
HGDP00102	Pakistan
HGDP00103	Pakistan
HGDP00104	Pakistan
HGDP00105	Pakistan
HGDP00106	Pakistan
HGDP00108	Pakistan
HGDP00109	Pakistan
HGDP00110	Pakistan
HGDP00111	Pakistan
HGDP00112	Pakistan
HGDP00113	Pakistan
HGDP00115	Pakistan
HGDP00116	Pakistan
HGDP00118	Pakistan
HGDP00119	Pakistan
HGDP00120	Pakistan
HGDP00121	Pakistan
HGDP00122	Pakistan
HGDP00124	Pakistan
HGDP00125	Pakistan
HGDP00127	Pakistan
HGDP00128	Pakistan
HGDP00129	Pakistan
HGDP00130	Pakistan
HGDP00131	Pakistan
HGDP00133	Pakistan
HGDP00134	Pakistan
HGDP00135	Pakistan
HGDP00136	Pakistan
HGDP00137	Pakistan
HGDP00139	Pakistan
HGDP00140	Pakistan
HGDP00141	Pakistan
HGDP00143	Pakistan
HGDP00144	Pakistan
HGDP00145	Pakistan
HGDP00146	Pakistan
HGDP00148	Pakistan
HGDP00149	Pakistan
HGDP00150	Pakistan
HGDP00151	Pakistan
HGDP00153	Pakistan
HGDP00154	Pakistan
HGDP00155	Pakistan
HGDP00157	Pakistan
HGDP00158	Pakistan
HGDP00160	Pakistan
HGDP00161	Pakistan
HGDP00163	Pakistan
HGDP00165	Pakistan
HGDP00167	Pakistan
HGDP00169	Pakistan
HGDP00171	Pakistan
HGDP00173	Pakistan
HGDP00175	Pakistan
HGDP00177	Pakistan
HGDP00179	Pakistan
HGDP00181	Pakistan
HGDP00183	Pakistan
HGDP00185	Pakistan
HGDP00187	Pakistan
HGDP00189	Pakistan
HGDP00191	Pakistan
HGDP00192	Pakistan
HGDP00195	Pakistan
HGDP00197	Pakistan
HGDP00199	Pakistan
HGDP00201	Pakistan
HGDP00203	Pakistan
HGDP00205	Pakistan
HGDP00206	Pakistan
HGDP00208	Pakistan
HGDP00210	Pakistan
HGDP00213	Pakistan
HGDP00214	Pakistan
HGDP00216	Pakistan
HGDP00218	Pakistan
HGDP00220	Pakistan
HGDP00222	Pakistan
HGDP00224	Pakistan
HGDP00226	Pakistan
HGDP00228	Pakistan
HGDP00230	Pakistan
HGDP00232	Pakistan
HGDP00234	Pakistan
HGDP00237	Pakistan
HGDP00239	Pakistan
HGDP00241	Pakistan
HGDP00243	Pakistan
HGDP00244	Pakistan
HGDP00247	Pakistan
HGDP00248	Pakistan
HGDP00251	Pakistan
HGDP00254	Pakistan
HGDP00258	Pakistan
HGDP00259	Pakistan
HGDP00262	Pakistan
HGDP00264	Pakistan
HGDP00267	Pakistan
HGDP00274	Pakistan
HGDP00277	Pakistan
HGDP00279	Pakistan
HGDP00281	Pakistan
HGDP00285	Pakistan
HGDP00286	Pakistan
HGDP00288	Pakistan
HGDP00290	Pakistan
HGDP00292	Pakistan
HGDP00298	Pakistan
HGDP00302	Pakistan
HGDP00304	Pakistan
HGDP00307	Pakistan
HGDP00309	Pakistan
HGDP00311	Pakistan
HGDP00313	Pakistan
HGDP00315	Pakistan
HGDP00319	Pakistan
HGDP00321	Pakistan
HGDP00323	Pakistan
HGDP00326	Pakistan
HGDP00328	Pakistan
HGDP00330	Pakistan
HGDP00333	Pakistan
HGDP00336	Pakistan
HGDP00338	Pakistan
HGDP00341	Pakistan
HGDP00346	Pakistan
HGDP00351	Pakistan
HGDP00356	Pakistan
HGDP00359	Pakistan
HGDP00364	Pakistan
HGDP00371	Pakistan
HGDP00372	Pakistan
HGDP00376	Pakistan
HGDP00382	Pakistan
HGDP00388	Pakistan
HGDP00392	Pakistan
HGDP00397	Pakistan
HGDP00402	Pakistan
HGDP00407	Pakistan
HGDP00412	Pakistan
HGDP00417	Pakistan
HGDP00423	Pakistan
HGDP00428	Pakistan
HGDP00433	Pakistan
HGDP00438	Pakistan
HGDP00444	Pakistan
HGDP00445	Pakistan
HGDP00448	Central African Republic
HGDP00449	Democratic Republic of Congo
HGDP00450	Democratic Republic of Congo
HGDP00451	Central African Republic
HGDP00452	Central African Republic
HGDP00453	Central African Republic
HGDP00454	Central African Republic
HGDP00455	Central African Republic
HGDP00456	Democratic Republic of Congo
HGDP00457	Central African Republic
